dc.identifier.uri	dc.source.uri	dc.creator	dc.relation
https://hdl.handle.net/10794/176	https://spraakbanken.gu.se/en/resources/familjeliv-medlem-foraldrar	n/a, n/a	
https://hdl.handle.net/10794/177	https://spraakbanken.gu.se/en/resources/familjeliv-medlem-planerarbarn	n/a, n/a	
https://hdl.handle.net/10794/178	https://spraakbanken.gu.se/en/resources/familjeliv-medlem-vantarbarn	n/a, n/a	
https://hdl.handle.net/10794/179	https://spraakbanken.gu.se/en/resources/familjeliv-pappagrupp	n/a, n/a	
https://hdl.handle.net/10794/180	https://spraakbanken.gu.se/en/resources/familjeliv-planerarbarn	n/a, n/a	
https://hdl.handle.net/10794/181	https://spraakbanken.gu.se/en/resources/familjeliv-sexsamlevnad	n/a, n/a	
https://hdl.handle.net/10794/182	https://spraakbanken.gu.se/en/resources/familjeliv-svartattfabarn	n/a, n/a	
https://hdl.handle.net/10794/183	https://spraakbanken.gu.se/en/resources/fanbararen	n/a, n/a	
https://hdl.handle.net/10794/184	https://spraakbanken.gu.se/en/resources/faq	n/a, n/a	
https://hdl.handle.net/10794/185	https://spraakbanken.gu.se/en/resources/filosofia1850-1899	n/a, n/a	
https://hdl.handle.net/10794/186	https://spraakbanken.gu.se/en/resources/filosofia1900-1959	n/a, n/a	
https://hdl.handle.net/10794/187	https://spraakbanken.gu.se/en/resources/finsktidskrift1800tal	n/a, n/a	
https://hdl.handle.net/10794/188	https://spraakbanken.gu.se/en/resources/finsktidskrift1900tal	n/a, n/a	
https://hdl.handle.net/10794/189	https://spraakbanken.gu.se/en/resources/finsktidskrift	n/a, n/a	
https://hdl.handle.net/10794/190	https://spraakbanken.gu.se/en/resources/flashback-dator	n/a, n/a	
https://hdl.handle.net/10794/191	https://spraakbanken.gu.se/en/resources/flashback-droger	n/a, n/a	
https://hdl.handle.net/10794/192	https://spraakbanken.gu.se/en/resources/flashback-ekonomi	n/a, n/a	
https://hdl.handle.net/10794/193	https://spraakbanken.gu.se/en/resources/flashback-flashback	n/a, n/a	
https://hdl.handle.net/10794/194	https://spraakbanken.gu.se/en/resources/flashback-fordon	n/a, n/a	
https://hdl.handle.net/10794/195	https://spraakbanken.gu.se/en/resources/flashback-hem	n/a, n/a	
https://hdl.handle.net/10794/196	https://spraakbanken.gu.se/en/resources/flashback-kultur	n/a, n/a	
https://hdl.handle.net/10794/197	https://spraakbanken.gu.se/en/resources/flashback-livsstil	n/a, n/a	
https://hdl.handle.net/10794/198	https://spraakbanken.gu.se/en/resources/flashback-mat	n/a, n/a	
https://hdl.handle.net/10794/199	https://spraakbanken.gu.se/en/resources/flashback-ovrigt	n/a, n/a	
https://hdl.handle.net/10794/200	https://spraakbanken.gu.se/en/resources/flashback-politik	n/a, n/a	
https://hdl.handle.net/10794/201	https://spraakbanken.gu.se/en/resources/flashback-resor	n/a, n/a	
https://hdl.handle.net/10794/202	https://spraakbanken.gu.se/en/resources/flashback-samhalle	n/a, n/a	
https://hdl.handle.net/10794/203	https://spraakbanken.gu.se/en/resources/flashback-sex	n/a, n/a	
https://hdl.handle.net/10794/204	https://spraakbanken.gu.se/en/resources/flashback-sport	n/a, n/a	
https://hdl.handle.net/10794/205	https://spraakbanken.gu.se/en/resources/flashback-vetenskap	n/a, n/a	
https://hdl.handle.net/10794/206	https://spraakbanken.gu.se/en/resources/fnb1999	n/a, n/a	
https://hdl.handle.net/10794/207	https://spraakbanken.gu.se/en/resources/fnb2000	n/a, n/a	
https://hdl.handle.net/10794/208	https://spraakbanken.gu.se/en/resources/fof	n/a, n/a	
https://hdl.handle.net/10794/209	https://spraakbanken.gu.se/en/resources/forarbeten1734	n/a, n/a	
https://hdl.handle.net/10794/210	https://spraakbanken.gu.se/en/resources/forhor	n/a, n/a	
https://hdl.handle.net/10794/211	https://spraakbanken.gu.se/en/resources/forumfeot	n/a, n/a	
https://hdl.handle.net/10794/212	https://spraakbanken.gu.se/en/resources/fragelistor	n/a, n/a	
https://hdl.handle.net/10794/213	https://spraakbanken.gu.se/en/resources/fredrikshamnstidning	n/a, n/a	
https://hdl.handle.net/10794/214	https://spraakbanken.gu.se/en/resources/fsbbloggvuxna	n/a, n/a	
https://hdl.handle.net/10794/215	https://spraakbanken.gu.se/en/resources/fsbbrev1700tal	n/a, n/a	
https://hdl.handle.net/10794/216	https://spraakbanken.gu.se/en/resources/fsbbrev1800-1849	n/a, n/a	
https://hdl.handle.net/10794/217	https://spraakbanken.gu.se/en/resources/fsbbrev1850-1899	n/a, n/a	
https://hdl.handle.net/10794/218	https://spraakbanken.gu.se/en/resources/fsbbrev1900tal	n/a, n/a	
https://hdl.handle.net/10794/219	https://spraakbanken.gu.se/en/resources/fsbessaistik	n/a, n/a	
https://hdl.handle.net/10794/220	https://spraakbanken.gu.se/en/resources/fsbmyndighet1800tal	n/a, n/a	
https://hdl.handle.net/10794/221	https://spraakbanken.gu.se/en/resources/fsbsakprosa	n/a, n/a	
https://hdl.handle.net/10794/222	https://spraakbanken.gu.se/en/resources/fsbskonlit1800-1849	n/a, n/a	
https://hdl.handle.net/10794/223	https://spraakbanken.gu.se/en/resources/fsbskonlit1850-1899	n/a, n/a	
https://hdl.handle.net/10794/224	https://spraakbanken.gu.se/en/resources/fsbskonlit1900-1959	n/a, n/a	
https://hdl.handle.net/10794/225	https://spraakbanken.gu.se/en/resources/fsbskonlit1960-1999	n/a, n/a	
https://hdl.handle.net/10794/226	https://spraakbanken.gu.se/en/resources/fsbskonlit2000tal	n/a, n/a	
https://hdl.handle.net/10794/227	https://spraakbanken.gu.se/en/resources/fsv-aldrelagar	n/a, n/a	
